Euring	Sortering	Artnavn	Latin	English	Status	Type
5510	3090	Lille Gulben	Tringa flavipes	Lesser Yellowlegs	AU	art
5450	3100	Sortklire	Tringa erythropus	Spotted Redshank	A	art
5480	3110	Hvidklire	Tringa nebularia	Common Greenshank	A	art
5500	3120	Stor Gulben	Tringa melanoleuca	Greater Yellowlegs	AU	art
5460	3130	Rødben	Tringa totanus	Common Redshank	A	art
5540	3170	Tinksmed	Tringa glareola	Wood Sandpiper	A	art
5470	3180	Damklire	Tringa stagnatilis	Marsh Sandpiper	AS	art
5630	3190	Amerikansk Svømmesneppe	Phalaropus tricolor	Wilson's Phalarope	AU	art
5640	3200	Odinshane	Phalaropus lobatus	Red-necked Phalarope	AS	art
5650	3210	Thorshane	Phalaropus fulicarius	Red Phalarope	AS	art
4640	3230	Ørkenløber	Cursorius cursor	Cream-colored Courser	AU	art
4650	3240	Rødvinget Braksvale	Glareola pratincola	Collared Pratincole	AU	art
4660	3250	Orientbraksvale	Glareola maldivarum	Oriental Pratincole	AU	art
4670	3260	Sortvinget Braksvale	Glareola nordmanni	Black-winged Pratincole	AU	art
6540	3300	Lunde	Fratercula arctica	Atlantic Puffin	AS	art
6380	3310	Tejst	Cepphus grylle	Black Guillemot	A	art
6360	3340	Alk	Alca torda	Razorbill	A	art
6470	3370	Søkonge	Alle alle	Little Auk	AS	art
6350	3380	Polarlomvie	Uria lomvia	Thick-billed Murre	AU	art
6340	3390	Lomvie	Uria aalge	Common Murre	A	art
5680	3450	Lille Kjove	Stercorarius longicaudus	Long-tailed Jaeger	AS	art
5670	3460	Almindelig Kjove	Stercorarius parasiticus	Parasitic Jaeger	A	art
5660	3480	Mellemkjove	Stercorarius pomarinus	Pomarine Jaeger	AS	art
5690	3500	Storkjove	Stercorarius skua	Great Skua	A	art
6020	3520	Ride	Rissa tridactyla	Black-legged Kittiwake	A	art
6040	3530	Ismåge	Pagophila eburnea	Ivory Gull	AU	art
